templates_id,templates_CES,templates_title,templates_content
27,180700,New Template Provided by QA,"►Issue<br><br>Thank you for calling arlo, this is Sean speaking.<br>May I ask for the email associated with the arlo account?<br><br><br>►Information on arlo devices affected<br>Model:<br>Serial Number:<br>Firmware:<br><br>►Information on devices affected<br>Device:<br>Model:<br>OS:<br>Version:<br><br>►Information on platforms affected<br>Web:<br>IOS:<br>IOS Version:<br>Android:<br>Android Version:<br><br>►Case History<br><br>►Troubleshooting details and summary at the time of call<br><br><br><br><br><br><br>►Next Action<br>Not Available<br>Resolved case<br>Escalated case to L2 via CEP<br>Warm transfer the call to CCT/SME/TM for further support<br>Open – customer will call us back<br>Open – cust said to contact him on 2/1/2020 at 7PM EST<br>Open – please check the charging cable<br>Open – please escalate case to a senior tech to continue the troubleshooting  <br>For any sensitive topic or information, please add it as ‘Admin notes’.<br>Customer is upset about the delayed RMA.<br>Customer is complaining about the previous expert who handled his case.<br><br> <br>►Checklist<br>Call Received: <br>Skill: CNX Video Doorbell <br>Account: 	<br>Caller: 	<br>Phone Number: <br>Primary Email: 	<br><br>Date of Purchase:    <br>Place of Purchase:          <br>Base/SH Serial Number:<br>Base/SH Firmware: <br>Camera Serial Number:<br>Camera Firmware:	<br>AVD Serial Number:	 <br>AVD Firmware:        <br>ISP:<br>Router:<br>Chime Brand/Model:                     <br><br>Downloaded Logs: Downloading - Check Attachment<br>Support Site: support.arlo.com - https://www.arlo.com/en-us/support/<br>Community Site: community.arlo.com - https://community.arlo.com/t5/Arlo-Smart-Home-Security/ct-p/Arlo<br><br>Article Attachment:<br>"
29,180700,Information on arlo devices affected,►Information on arlo devices affected<br>Model:<br>Serial Number:<br>Firmware:<br>
30,180700,Information on devices affected,►Information on devices affected<br>Device:<br>Model:<br>OS:<br>Version:
31,180700,Information on platforms affected,►Information on platforms affected<br>Web:<br>IOS:<br>IOS Version:<br>Android:<br>Android Version:
32,180700,Next Action,"Not Available<br>Resolved case<br>Escalated case to L2 via CEP<br>Warm transfer the call to CCT/SME/TM for further support<br>Open – customer will call us back<br>Open – cust said to contact him on 2/1/2020 at 7PM EST<br>Open – please check the charging cable<br>Open – please escalate case to a senior tech to continue the troubleshooting  <br>For any sensitive topic or information, please add it as ‘Admin notes’.<br>Customer is upset about the delayed RMA.<br>Customer is complaining about the previous expert who handled his case.<br>"
33,180700,Checklist,"Call Received: <br>Skill: CNX Video Doorbell <br>Account: 	<br>Caller: 	<br>Phone Number: <br>Primary Email: 	<br><br>Date of Purchase:    <br>Place of Purchase:          <br>Base/SH Serial Number:<br>Base/SH Firmware: <br>Camera Serial Number:<br>Camera Firmware:	<br>AVD Serial Number:	 <br>AVD Firmware:        <br>ISP:<br>Router:<br>Chime Brand/Model:  "
34,180700,OUTBOUND SPIEL,"OUTBOUND SPIEL:<br><br>Hi this is Sean from Arlo, <br>am i speaking with ___?<br>Before we begin, It is our protocol to first advise you that this call is being recorded. Can you please acknowledge that you understand and agree to have this call recorded by stating yes?<br><br>By the way, your case has been endorsed to me for a callback.<br><br><br><br>Hi, This is Sean from Arlo doing a follow up on your open case with the number _____. <br>It seems to me that you are not available at the moment so I shall give you another callback a couple of minutes from now. Please remain your lines open and I&apos;ll call you back. Thank you and have great day.<br><br>Hi, This is Sean from Arlo. I am doing a follow up on your open case number _____. <br>It seems to me that you are not available at the moment. Should you need further assistance with your concern please give us a call at 4086383750 and choose the correct option so that you will be routed the correct technical support that actually supports your device. Thank you and have great day.<br>"
35,180700,GUIDE: ARLO GO SET-UP,-power cycle camera<br>-sim card <br>-sd card<br>-battery back <br>-chime<br>-add new device<br>-arlo go <br>-looking for qr code<br>-scan the box/package<br>-scan qr code on the phone<br>-continue<br>-name arlo go camera<br>-continue<br>-camera is active<br><br>https://www.arlo.com/en-us/images/Documents/ArloGo/Arlo_Go_ATT_UM.pdf<br>https://kb.arlo.com/1202756/What-are-the-features-and-specifications-of-an-Arlo-Go-camera<br>
36,180700,S&apos;s Call,"honestly, i would like to resolve this as much as you do and the soonest way possible<br><br>however, i will not be able to do that unless you would let me <br><br>what i am asking out of you is for you to understand what i can do at the moment since i don&apos;t have all the answers here yet.. I may need to investigate and consult this one with the team first as to what happened"
38,180700,rma ,-informed customer of his/her hardware warranty entitlement from its date of purchase<br>-informed customer of the replacement process (accessories or main unit)<br>-informed customer to process the replacement on the email and choose the preferred rma option<br>-will provide customer rma check and rma number once rma is initiated<br><br><br><br>
39,180700,rma spiel,"-rma <br>-you will be receiving in an hour or two from now  an rma confirmation email containing 3 replacement options for you to process your replacement <br>-please check your email from time to time<br>-i would like to inform you as well that you do have a 1 year of hardware warranty entitlement from its date of purchase here on arlo and i am not quite sure what your agreement with the store about the warranty but rest -assured you do have one here on arlo technical support<br><br><br>-if customer was explained of the options<br>-if you are not comfortable with the replacement options please let me know so that I can ask my senior techinician what i can do for you<br>-explain shipping waive and get credit card info<br>-i had talked it out with my senior technician <br>-good thing is that we can process your replacement via shipping waive however for this one to be processed our system requires authorization hold for about 2$ dollars but no worries it will be given back to the account within 2-3 banking days, it is just for the warehouse to ensure that they will be getting the faulty unit so that they can examine what seems to be the cause of the problem hence addressing the problems that other customers may experience as well"
40,180700,GUIDE: BRIDGE AND LIGHTS,-bridge no LED<br>-reset the bridge<br>-bridge won&apos;t blink amber<br>-move to another power source<br><br>-reset bridge<br>-wait blinking amber<br>-unplug bridge.<br><br>-add new device<br>-add bridge<br>-scan qr code<br>-plug bridge to outlet<br>-wait blinking amber<br>-continue <br>-press sync blinking blue<br>-continue<br>-bridge found<br>-select 2.4 network<br>-enter wifi network password<br>-name the arlo bridge<br>-named bridge<br>-continue<br>-searching available firmware updates<br>-arlo bridge active<br><br>-add new device<br>-select security lights<br>-select bridge<br>-continue<br>-scan qr (take battery out of lights)<br>-insert the battery to the arlo security lights<br>-white light once<br>-continue<br>-hold the sync button on the lights<br>-blinking blue<br>-continue<br>-discovering the lights<br>-name lights<br>-continue<br>-arlo security light is active<br>-finish<br>
41,180700,rma follow up,"Hi _____ ,<br><br>This is Sean from Arlo Technical Support. I just want to inform you that we have already processed the replacement. You can also check the RMA status here at https://www.arlo.com/rma/rmacheck.aspx and just use the RMA Number ______ to check. By the way, there will be a survey after this one. I would really appreciate knowing that I was of service to you today. Should you need further assistance, just let me know by replying to this email and I will call you as soon as I can.  Thanks.<br><br><br><br>Sincerely,<br>Sean Christopher<br>Arlo Technical Support "
42,180700,GUIDE: ALRO ULTRA INITIAL INSTALLATION,-arlo ultra initial installation<br>-download arlo app<br>-new to arlo<br>-verify email<br>-add new device<br>-base found <br>-base active<br>-add new device<br>-add new device<br>-select wirefree<br>-base detected<br>-checking for updates<br>-select ultra camera<br>-2 camera SN available<br>-select the camera<br>-name the camera<br><br>do the same<br>-add new device<br>-select wirefree<br>-base detected<br>-checking for updates<br>-select ultra camera<br>-2 camera SN available<br>-select the other camera<br>-name the camera<br>
43,180700,L2 LOG Analysis,"o pirMotionAlert<br>o VideoIngressThread<br>o egressId<br>o SET videoStreamDur/ ingress_duration<br><br>o startuserstream<br>o VideoIngressThread<br>o egressId<br>o SET videoStreamDur/ ingress_duration<br><br>o BackendAutomationApi<br>o AutomationMgr<br>o activeModes<br>o Mode0<br>o Mode1<br>o Schedule<br><br>o Camera Stats<br>o CAM_STATS1, CAM_STATS2, CAM_STATS3<br><br>o Stream Stats<br>o ExpectedDuration<br>o Duration<br>o VideoOutputResolution<br>o NightVisionMode<br>o VideoMode<br>o UserStreamed<br>o MotionStreamed<br>o Streamed<br><br>o Wifi Stats<br>o RSSI<br>o Current Wifi Channel<br>o ConnectionRate<br>o WifiConnectionCount<br>o WifiConnectionAttempts<br><br>o Syncing Device<br>o startWPSListener<br>o Registration<br>o newDevices"
51,181875,FOLLOW UP EMAIL,"Hi , <br><br><br>I am making a follow-up regarding a Case ID:. I would like to know your feedback regarding the previous email I sent. I sent you troubleshooting steps and some information that I needed for me to proceed accordingly. If ever you require further assistance, please feel free to contact us back. <br><br>Support Site - https://support.arlo.com<br><br>Thank you for choosing ARLO!<br><br> <br>Sincerely,<br><br>Leigh<br>ARLO Support Expert<br>"
52,181875,CLOSING EMAIL:,"CLOSE:<br>No response<br><br>Closing case at the 8th Day as advised by Sir Pax<br><br>Past 2 days off hence closing this case Today<br><br><br>=======================================================<br><br>Hi ,<br><br><br>Good day!<br><br>Since we have not heard from you in the last few days, I will now close your case due to inactivity. You may refer to the case ID:. If ever you require further assistance, please feel free to contact us back.<br><br><br>Sincerely,<br><br>Leigh<br>ARLO Support Expert<br>Support Site - https://support.arlo.com<br>Community site - https://community.arlo.com<br><br>"
53,181875,ARLO VIDEO DOORBELL,"AVD NO RECORDING:<br><br>1. Trigger the video doorbell<br>   •Check the Led behavior of the Video doorbell<br>   •Check the motion Icon on the app<br>2. Perform a manual recording and check recording on the library<br>3. Made sure that the Video doorbell is set to active under Arlo Smart Notifications<br>4. Made sure that the Video doorbell is active under manage camera status<br>5. Set the recording length to fixed length of time (10s) and check the recording<br>6. Create a custom mode for the video doorbell and try to trigger the camera<br>7. Performed motion detection test <br>8. Log in and Log out, then log back in<br>"
54,181875,AUDIO DETECTION:,a. Turn off Microphone on all cameras under device settings<br>b. Made sure that the cameras audio is not enabled on the Mode (Armed)<br>c. Disabled All Other Audio and Smoke/CO alarm in Smart Notification<br>d. Inactive camera in Smart Notification and drag back to Active<br>e. Reset BS<br>f. Re-sync the cameras<br>g. Power cycle BS<br>
56,181875,VMC3030  BATTERY DRAIN,You may use this link as a reference:<br>https://kb.arlo.com/1133448/My-Arlo-wire-free-camera-is-offline-how-can-I-troubleshoot-it<br>https://kb.arlo.com/1050860/What-do-I-need-to-know-about-Arlo-Wire-Free-camera-batteries<br>
58,181875,STANDARD EMAIL:,"Hi ,<br><br><br>I hope you have a great day!<br><br>Thank you for contacting ARLO E-mail support. Rest assured, we will use all our resources to address your concern in the least amount of time. I understand that your<br><br>You may perform troubleshooting steps provided under this link: <br><br>Also, please provide the following information in case we will need to proceed with other alternatives:<br><br>Please know that when your case gets inactive for 7 days, we will have to close this case. I know that the issue might have not been resolved yet. However, you may still get back to us at your most convenient time and provide your case ID which is .<br><br><br>Much Respect,<br><br>Leigh<br>ARLO Support Expert<br>Support Site - https://support.arlo.com<br>Community site - https://community.arlo.com<br>"
59,181875, TEMPLATE:,"We hope to hear from you soon.<br><br>--------------------------------------<br><br>You can also use this link: “Provide the link”, for reference.<br><br>Your response with a detailed result of the steps provided is much anticipated.<br><br>Also, please provide the following information in case we will need to proceed with other alternatives:<br><br>"
60,181875,CVR ISSUE,"Screenshots or sample videos.<br>iOS or Android app logs.<br>BS Logs.<br>Exact time stamp of the videos the issue occurred.<br>For L2, always include HAR logs.<br>"
